name,team,pos,rank
Aaron Nkrumah,DEN,SG,387
Alijah Martin,TOR,"PG,SG",388
Yves Missi,NO,C,389
Oshae Brissett,PHI,"SF,PF",390
Patrick Williams,CHI,"SF,PF",391
Nikola Jovic,MIA,"PF,C",392
Armando Bacot,MEM,,393
Marcus Domask,CHI,,394
Mark Mitchell,DEN,SF,395
Mamadi Diakite,PHO,PF,396
Cam Christie,LAC,"SG,SF",397
Julian Phillips,HOU,"SF,PF",398
Bradley Beal,LAC,"SG,SF",399
Michael Ajayi,CHA,SF,400
Malevy Leons,GS,PF,401
Quincy Guerrier,TOR,,402
Thaddeus Young,FA,"PF,C",403
Tidjane Salaun,CHA,"PF,C",404
Lindy Waters III,SA,"SG,SF",405
Vít Krejcí,POR,"SG,SF",406
N'Faly Dante,ATL,C,407
Alex Fudge,DAL,,408
Chaz Lanier,DET,SG,409
Braden Smith,IND,PG,410
Jack Kayil,NY,SG,411
Noah Penda,ORL,"SF,PF",412
DaRon Holmes II,DEN,"PF,C",413
Nate Williams,GS,SF,414
Hunter Tyson,BKN,PF,415
Moses Moody,GS,"SG,SF,PF",416
Samkelo Cele,NY,,417
Mark Armstrong,BKN,,418
Jermaine Samuels Jr.,HOU,,419
Noa Essengue,CHI,PF,420
Trevon Scott,BKN,SF,421
Brice Sensabaugh,UTA,"SG,SF,PF",422
Kevin McCullar Jr.,NY,"SF,PF",423
Mitchell Robinson,BOS,C,424
Dalton Knecht,LAL,"SG,SF",425
Sion James,CHA,"SG,SF",426
Rasheer Fleming,PHO,"PF,C",427
Melvin Ajinca,DAL,SF,428
Seth Lundy,LAC,SF,429
Jordan Hawkins,NO,"SG,SF",430
De'Anthony Melton,GS,"PG,SG",431
Kevin Porter Jr.,MIL,"PG,SG",432
Svi Mykhailiuk,UTA,"SG,SF",433
James Johnson,IND,PF,434
Lonzo Ball,UTA,"PG,SG",435
Rui Hachimura,LAC,"SF,PF",436
Dylan Windler,FA,SF,437
Devin Carter,ATL,"PG,SG",438
Usman Garuba,FA,"PF,C",439
Tre Donaldson,MIA,PG,440
Ricky Council IV,BKN,"SG,SF",441
Damian Jones,FA,C,442
Evan Fournier,FA,"SG,SF",443
Jonathan Mogbo,SAC,"PF,C",444
Miles McBride,NY,"PG,SG",445
Trendon Watford,NO,PF,446
KJ Jones II,BKN,,447
Duane Washington Jr.,FA,SG,448
Pelle Larsson,MIA,"SG,SF",449
Trevelin Queen,ORL,"SG,SF",450
Aaron Estrada,DET,,451
Tyler Nickel,NY,SF,452
Bismack Biyombo,SA,C,453
Danny Green,FA,SG,454
Max Abmas,UTA,,455
Trentyn Flowers,CHI,,456
Clint Capela,HOU,C,457
Kyle Kuzma,MIL,"SF,PF",458
Tyrese Samuel,PHO,,459
Danilo Gallinari,FA,SF,460
Reggie Bullock,FA,"SF,PF",461
GG Jackson II,MEM,"SF,PF,C",462
Stanley Umude,SA,SG,463
Kendall Brown,IND,SF,464
Tre Mann,WAS,"PG,SG",465
Adou Thiero,LAL,"SF,PF",466
Ja'Kobi Gillespie,SA,PG,467
Tobi Lawal,DAL,PF,468
Cole Swider,DET,PF,469
Terry Rozier,MIA,PG,470
Jrue Holiday,POR,"PG,SG",471
Luke Kennard,PHO,"SG,SF",472
Craig Porter Jr.,CLE,"PG,SG",473
Jahmir Young,MIA,,474
James Nnaji,FA,C,475
Nerlens Noel,FA,C,476
Jerami Grant,MEM,"SF,PF",477
Danuel House Jr.,FA,SF,478
Udoka Azubuike,FA,C,479
Jusuf Nurkic,UTA,C,480
Max Strus,LAC,"SF,PF",481
Jalen Smith,CHI,"PF,C",482
Vince Williams Jr.,UTA,"PG,SG",483
Keon Johnson,BKN,"PG,SG",484
Jared Butler,PHO,"PG,SG",485
Armel Traore,LAL,,486
Isaiah Joe,DET,"SG,SF",487
Trayce Jackson-Davis,TOR,C,488
D'Angelo Russell,MEM,"PG,SG",489
Ryan Dunn,PHO,"SF,PF",490
James Bouknight,FA,SG,491
Keaton Wallace,ATL,PG,492
Keisei Tominaga,IND,,493
Jamal Shead,TOR,PG,494
Tyus Jones,DEN,PG,495
Guerschon Yabusele,CHI,"PF,C",496
Baylor Scheierman,BOS,"SG,SF",497
JaVale McGee,FA,C,498
Robert Williams III,POR,C,499
Tre Jones,CHI,"PG,SG",500
Jeremy Sochan,POR,"PF,C",501
Luguentz Dort,ATL,"SG,SF",502
Koby Brea,PHO,SG,503
Davis Bertans,FA,"PF,C",504
Alondes Williams,WAS,"SG,SF",505
Cole Anthony,PHO,PG,506
Nick Boyd,GS,PG,507
Jalen Wilson,ATL,"SF,PF",508
Jack McVeigh,HOU,,509
Karlo Matkovic,NO,"PF,C",510
Johnny Furphy,IND,"SG,SF",511
Keldon Johnson,SA,"SF,PF",512
Gary Trent Jr.,MIL,"SG,SF",513
De'Andre Hunter,SAC,"SF,PF",514
Tyler Kolek,NY,"PG,SG",515
Luke Kornet,SA,C,516
Bobby Portis,MIA,"PF,C",517
Frank Ntilikina,FA,PG,518
Daishen Nix,SAC,PG,519
Jason Preston,UTA,PG,520
Davion Mitchell,MIA,PG,521
Jacky Cui,BKN,,522
Bobi Klintman,DET,PF,523
Josh Green,UTA,"SG,SF",524
Josiah-Jordan James,IND,,525
Quinten Post,MEM,C,526
