name,team,pos,scorer_id
Alec Bohm,PHI,"1B,3B",04mn5
Max Muncy,LAD,3B,02mzg
Isaac Paredes,HOU,"1B,3B",04071
Wilyer Abreu,BOS,OF,060x1
J.T. Realmuto,PHI,C,025i9
Jeff McNeil,NYM,"1B,2B,OF",0317o
Andrew McCutchen,PIT,UT,01c1g
Ryan McMahon,COL/NYY,3B,0310n
Will Vest,DET,RP,04em6
Clayton Kershaw,LAD,SP,005ih
Luis Robert Jr.,CHW,OF,047l7
Jonathan India,KC,"2B,3B,OF",04nx3
Adrian Morejon,SD,RP,043ia
Edwin Uceta,TB,RP,04tji
Jonathan Aranda,TB,1B,05t9v
Jose Caballero,TB/NYY,"2B,3B,SS,OF",04eig
Nathan Lukes,TOR,OF,03qmr
Brooks Lee,MIN,"2B,3B,SS",04yig
Devin Williams,NYY,RP,0311c
Jacob Lopez,ATH,SP,051ui
Austin Hays,CIN,OF,041qs
Landen Roupp,SF,SP,05y72
Max Kepler,PHI,OF,01vja
Jasson Dominguez,NYY,OF,050c3
Austin Wells,NYY,C,05ahg
Garrett Whitlock,BOS,RP,04eqa
Colt Keith,DET,"1B,2B,3B",05jrh
Matt Shaw,CHC,"2B,3B,OF",063vu
Eric Wagaman,MIA,"1B,3B,OF",04emu
Kenley Jansen,LAA,RP,01svz
Jurickson Profar,ATL,OF,01spl
Trevor Megill,MIL,RP,03dau
Tyler Glasnow,LAD,SP,02btx
Joey Ortiz,MIL,"3B,SS",0513c
Simeon Woods-Richardson,MIN,SP,04pmp
Eury Perez,MIA,SP,05aoc
Stephen Kolek,SD/KC,SP,04pvu
Josh Jung,TEX,3B,04y44
Dillon Dingler,DET,C,05gx4
Spencer Horwitz,PIT,1B,051ia
Wilmer Flores,SF,"1B,2B",01cgt
Randy Vasquez,SD,"SP,RP",05itb
Ben Brown,CHC,"SP,RP",04o2w
Tony Santillan,CIN,RP,03poq
Victor Scott,STL,OF,0648z
Dennis Santana,PIT,RP,046yd
Brett Baty,NYM,"1B,2B,3B,OF",04yib
Janson Junk,MIA,"SP,RP",04etg
Gavin Lux,CIN,"2B,OF",041ai
Tyler Anderson,LAA,SP,026mq
Joey Cantillo,CLE,"SP,RP",04eos
Pete Fairbanks,TB,RP,03qo0
Ryan Jeffers,MIN,C,04pmu
Carson Kelly,CHC,C,02mxf
