reason,player,fp_dynasty_rank,ktc_rank,best_rank
"on authority, unranked by all sources",D.J. Montgomery,,,
"on authority, unranked by all sources",Marcus Sanders Jr.,,,
"on authority, unranked by all sources",Sahmir Hagans,,,
"on authority, unranked by all sources",Isaiah Winstead,,,
"on authority, unranked by all sources",Phillip Dorsett II,,,
"on authority, unranked by all sources",Rashad Rochelle,,,
"on authority, unranked by all sources",Montorie Foster Jr.,,,
"on authority, unranked by all sources",Joshua Cephus,,,
"on authority, unranked by all sources",Jalen Walthall,,,
"on authority, unranked by all sources",Chris Hilton Jr.,,,
"on authority, unranked by all sources",Bryson Green,,,
"on authority, unranked by all sources",Noah Short,,,
"on authority, unranked by all sources",JaQuae Jackson,,,
"on authority, unranked by all sources",Treyvhon Saunders,,,
"on authority, unranked by all sources",Kendric Pryor,,,
"on authority, unranked by all sources",Lawrence Keys,,,
"on authority, unranked by all sources",John Jiles,,,
"on authority, unranked by all sources",Matthew Henry,,,
"on authority, unranked by all sources",Danny Gray,,,
"on authority, unranked by all sources",Malik Cunningham,,,
"on authority, unranked by all sources",Joaquin Davis,,,
"on authority, unranked by all sources",Juice Wells Jr.,,,
"on authority, unranked by all sources",Dalevon Campbell,,,
"on authority, unranked by all sources",Tru Edwards,,,
"on authority, unranked by all sources",Le'Meke Brockington,,,
"on authority, unranked by all sources",Brandon Smith,,,
"on authority, unranked by all sources",Jason Brownlee,,,
"on authority, unranked by all sources",Isaiah Neyor,,,
"on authority, unranked by all sources",Cameron Ross,,,
"on authority, unranked by all sources",Dalen Cambre,,,
"on authority, unranked by all sources",Donaven McCulley,,,
"on authority, unranked by all sources",Cornelius Johnson,,,
"on authority, unranked by all sources",Erik Ezukanma,,,
"on authority, unranked by all sources",Kyle Dixon,,,
"on authority, unranked by all sources",Kole Wilson,,,
"on authority, unranked by all sources",Dominic Lovett,,,
"on authority, unranked by all sources",Denzel Mims,,,
"on authority, unranked by all sources",Chris Blair,,,
"on authority, unranked by all sources",Kristian Wilkerson,,,
"on authority, unranked by all sources",Emmanuel Henderson Jr.,,,
"on authority, unranked by all sources",Ja'Mori Maclin,,,
"on authority, unranked by all sources",Garrett Greene,,,
"on authority, unranked by all sources",Quincy Skinner Jr.,,,
"on authority, unranked by all sources",Tarik Black,,,
"on authority, unranked by all sources",Sean Brown,,,
"on authority, unranked by all sources",Brock Rechsteiner,,,
"on authority, unranked by all sources",Xavier Loyd,,,
"on authority, unranked by all sources",Lance McCutcheon,,,
"on authority, unranked by all sources",Gee Scott,,,
"on authority, unranked by all sources",Dean Patterson IV,,,
"on authority, unranked by all sources",Dennis Houston,,,
"on authority, unranked by all sources",Omari Evans,,,
"on authority, unranked by all sources",E.J. Horton,,,
"on authority, unranked by all sources",Dayton Wade,,,
"on authority, unranked by all sources",Traeshon Holden,,,
"on authority, unranked by all sources",Malik McClain,,,
"on authority, unranked by all sources",Julian Hicks,,,
"on authority, unranked by all sources",Keelan Marion,,,
"on authority, unranked by all sources",Hakeem Butler,,,
"on authority, unranked by all sources",Isaiah Wooden,,,
"on authority, unranked by all sources",Anthony Smith,,,
"on authority, unranked by all sources",Malick Meiga,,,
"on authority, unranked by all sources",Kaden Davis,,,
"on authority, unranked by all sources",Luke Grimm,,,
"on authority, unranked by all sources",Ben Patterson,,,
"on authority, unranked by all sources",Ja'Corey Brooks,,,
"on authority, unranked by all sources",Cam Camper,,,
"on authority, unranked by all sources",CJ Williams,,,
"on authority, unranked by all sources",Jordan Moore,,,
"on authority, unranked by all sources",Da'Quan Felton,,,
"on authority, unranked by all sources",Brenden Rice,,,
"on authority, unranked by all sources",Alex Bullock,,,
"on authority, unranked by all sources",Jordan Hudson,,,
"on authority, unranked by all sources",Kaden Prather,,,
"on authority, unranked by all sources",Lucky Jackson,,,
"on authority, unranked by all sources",Will Pauling,,,
"on authority, unranked by all sources",Justin Watson,,,
"on authority, unranked by all sources",Robbie Ouzts,,,
"on authority, unranked by all sources",John FitzPatrick,,,
"on authority, unranked by all sources",DJ Turner,,,
"on authority, unranked by all sources",Parris Campbell,,,
"on authority, unranked by all sources",Cam Akers,,,
"on authority, unranked by all sources",K.J. Osborn,,,
"on authority, unranked by all sources",Stone Smartt,,,
"on authority, unranked by all sources",Mecole Hardman Jr.,,,
"on authority, unranked by all sources",Luke Farrell,,,
"on authority, unranked by all sources",Max Hurleman,,,
"on authority, unranked by all sources",Johnny Mundt,,,
"on authority, unranked by all sources",Ja'Lynn Polk,,,
"on authority, unranked by all sources",River Cracraft,,,
"on authority, unranked by all sources",Michael Woods II,,,
"on authority, unranked by all sources",Jalen Reagor,,,
"on authority, unranked by all sources",Bryce Oliver,,,
"on authority, unranked by all sources",Brenden Bates,,,
"on authority, unranked by all sources",Patrick Taylor Jr.,,,
"on authority, unranked by all sources",Dan Chisena,,,
"on authority, unranked by all sources",Tanner Conner,,,
"on authority, unranked by all sources",Terrace Marshall Jr.,,,
"on authority, unranked by all sources",Lucas Scott,,,
"on authority, unranked by all sources",Myles Montgomery,,,
"on authority, unranked by all sources",Dominic Richardson,,,
"on authority, unranked by all sources",Anthony Tyus III,,,
"on authority, unranked by all sources",Alex Tecza,,,
"on authority, unranked by all sources",Elijah Tau-Tolliver,,,
"on authority, unranked by all sources",Jabari Small,,,
"on authority, unranked by all sources",Julius Davis,,,
"on authority, unranked by all sources",Damon Bankston,,,
"on authority, unranked by all sources",Kadarius Calloway,,,
"on authority, unranked by all sources",Al-Jay Henderson,,,
"on authority, unranked by all sources",Jacardia Wright,,,
"on authority, unranked by all sources",Justin Jones,,,
"on authority, unranked by all sources",Cash Jones,,,
"on authority, unranked by all sources",Brittain Brown,,,
