reason,player,hkb_rank,best_rank
"on authority, unranked by all sources",Gavin Hollowell,,
"on authority, unranked by all sources",Darren McCaughan,,
"on authority, unranked by all sources",Ben Bowden,,
"on authority, unranked by all sources",Luis Peralta,,
"on authority, unranked by all sources",Oliver Dunn,,
"on authority, unranked by all sources",Julian Fernandez,,
"on authority, unranked by all sources",Wade Miley,,
"on authority, unranked by all sources",Brian Navarreto,,
"on authority, unranked by all sources",Eduarniel Núñez,,
"on authority, unranked by all sources",Logan VanWey,,
"on authority, unranked by all sources",Lazaro Estrada,,
"on authority, unranked by all sources",Oscar Gonzalez,,
"on authority, unranked by all sources",Davis Daniel,,
"on authority, unranked by all sources",Paul Gervase,,
"on authority, unranked by all sources",Matt Gorski,,
"on authority, unranked by all sources",Jose Azocar,,
"on authority, unranked by all sources",Mason McCoy,,
"on authority, unranked by all sources",Yosver Zulueta,,
"on authority, unranked by all sources",Tomas Nido,,
"on authority, unranked by all sources",Noah Murdock,,
"on authority, unranked by all sources",Nick Burdi,,
"on authority, unranked by all sources",Ryan Noda,,
"on authority, unranked by all sources",Trenton Brooks,,
"on authority, unranked by all sources",Tanner Rainey,,
"on authority, unranked by all sources",Elvis Peguero,,
"on authority, unranked by all sources",Gerson Garabito,,
"on authority, unranked by all sources",Ji-Hwan Bae,,
"on authority, unranked by all sources",Jorge Alfaro,,
"on authority, unranked by all sources",Jose Barrero,,
"on authority, unranked by all sources",Sebastian Rivero,,
"on authority, unranked by all sources",Carl Edwards Jr.,,
"on authority, unranked by all sources",David Villar,,
"on authority, unranked by all sources",Sammy Peralta,,
"on authority, unranked by all sources",Pablo Reyes,,
"on authority, unranked by all sources",Austin Barnes,,
"on authority, unranked by all sources",Joey Gerber,,
"on authority, unranked by all sources",Josh Walker,,
"on authority, unranked by all sources",Will Robertson,,
"on authority, unranked by all sources",Dillon Tate,,
"on authority, unranked by all sources",Logan Davidson,,
"on authority, unranked by all sources",Jose Espada,,
"on authority, unranked by all sources",Randy Wynne,,
"on authority, unranked by all sources",Tyler Matzek,,
"on authority, unranked by all sources",Ryan Burr,,
"on authority, unranked by all sources",Scott Effross,,
"on authority, unranked by all sources",Austin Nola,,
"on authority, unranked by all sources",Alan Trejo,,
"on authority, unranked by all sources",Billy McKinney,,
"on authority, unranked by all sources",Garrett McDaniels,,
"on authority, unranked by all sources",Yuli Gurriel,,
"on authority, unranked by all sources",Zach Thompson,,
"on authority, unranked by all sources",Codi Heuer,,
"on authority, unranked by all sources",Seth Martinez,,
"on authority, unranked by all sources",Logan Gillaspie,,
"on authority, unranked by all sources",Ty Adcock,,
"on authority, unranked by all sources",Justin Garza,,
"on authority, unranked by all sources",Mason Thompson,,
"on authority, unranked by all sources",Spencer Turnbull,,
"on authority, unranked by all sources",Dairon Blanco,,
"on authority, unranked by all sources",Luarbert Arias,,
"on authority, unranked by all sources",Tom Cosgrove,,
"on authority, unranked by all sources",Keston Hiura,,
"on authority, unranked by all sources",Allan Winans,,
"on authority, unranked by all sources",Petey Halpin,,
"on authority, unranked by all sources",Bobby Dalbec,,
"on authority, unranked by all sources",Chadwick Tromp,,
"on authority, unranked by all sources",Jack Winkler,,
"on authority, unranked by all sources",Jacob Barnes,,
"on authority, unranked by all sources",Michael Fulmer,,
"on authority, unranked by all sources",Omar Cruz,,
"on authority, unranked by all sources",Owen White,,
"on authority, unranked by all sources",Philip Abner,,
"on authority, unranked by all sources",Trevor Richards,,
"on authority, unranked by all sources",Omar Narvaez,,
"on authority, unranked by all sources",Anthony Misiewicz,,
"on authority, unranked by all sources",Jovani Moran,,
"on authority, unranked by all sources",Ian Anderson,,
"on authority, unranked by all sources",Wander Suero,,
"on authority, unranked by all sources",Rhylan Thomas,,
"on authority, unranked by all sources",Manuel Margot,,
"on authority, unranked by all sources",Colin Poche,,
"on authority, unranked by all sources",Isaiah Campbell,,
"on authority, unranked by all sources",Christian Montes De Oca,,
"on authority, unranked by all sources",Jose Quijada,,
"on authority, unranked by all sources",Brewer Hicklen,,
"on authority, unranked by all sources",Michael Siani,,
"on authority, unranked by all sources",Christian Roa,,
"on authority, unranked by all sources",Corey Julks,,
"on authority, unranked by all sources",Michael Stefanic,,
"on authority, unranked by all sources",Rich Hill,,
"on authority, unranked by all sources",Miguel Castro,,
"on authority, unranked by all sources",Matt Krook,,
"on authority, unranked by all sources",Caleb Freeman,,
"on authority, unranked by all sources",Nicky Lopez,,
"on authority, unranked by all sources",Owen Miller,,
"on authority, unranked by all sources",Ali Sanchez,,
"on authority, unranked by all sources",Cesar Salazar,,
"on authority, unranked by all sources",Scott Kingery,,
"on authority, unranked by all sources",Vimael Machin,,
"on authority, unranked by all sources",Sandy Leon,,
"on authority, unranked by all sources",Anthony Maldonado,,
"on authority, unranked by all sources",Patrick Monteverde,,
"on authority, unranked by all sources",Buddy Kennedy,,
"on authority, unranked by all sources",Ryan Loutos,,
"on authority, unranked by all sources",Logan Porter,,
"on authority, unranked by all sources",Michel Otanez,,
"on authority, unranked by all sources",Jeff Brigham,,
"on authority, unranked by all sources",Brett Sullivan,,
"on authority, unranked by all sources",Akil Baddoo,,
"on authority, unranked by all sources",Connor Kaiser,,
"on authority, unranked by all sources",Cam Sanders,,
"on authority, unranked by all sources",Reiver Sanmartin,,
"on authority, unranked by all sources",Gregory Santos,,
"on authority, unranked by all sources",Kyle Nelson,,
"on authority, unranked by all sources",J.P. Feyereisen,,
"on authority, unranked by all sources",Mike Clevinger,,
"on authority, unranked by all sources",Jacob Hurtubise,,
"on authority, unranked by all sources",Nick Raquet,,
"on authority, unranked by all sources",Touki Toussaint,,
"on authority, unranked by all sources",Luis F. Castillo,,
"on authority, unranked by all sources",Jhonathan Diaz,,
"on authority, unranked by all sources",Lucas Sims,,
"on authority, unranked by all sources",Blake Sabol,,
"on authority, unranked by all sources",Lucas Gilbreath,,
"on authority, unranked by all sources",Austin Pope,,
"on authority, unranked by all sources",Rob Brantly,,
"on authority, unranked by all sources",Adam Ottavino,,
"on authority, unranked by all sources",Carson Ragsdale,,
"on authority, unranked by all sources",Bruce Zimmermann,,
"on authority, unranked by all sources",Jack Little,,
"on authority, unranked by all sources",John Rooney,,
"on authority, unranked by all sources",Drew Avans,,
"on authority, unranked by all sources",Tucker Barnhart,,
"on authority, unranked by all sources",Eli Morgan,,
"on authority, unranked by all sources",Jesse Hahn,,
"on authority, unranked by all sources",Alex Carrillo,,
"on authority, unranked by all sources",Jonathan Ornelas,,
"on authority, unranked by all sources",Carter Kieboom,,
"on authority, unranked by all sources",Angel Perdomo,,
"on authority, unranked by all sources",Steward Berroa,,
"on authority, unranked by all sources",Garrett Stubbs,,
"on authority, unranked by all sources",Tyler Owens,,
"on authority, unranked by all sources",Maverick Handley,,
"on authority, unranked by all sources",Cal Stevenson,,
"on authority, unranked by all sources",Dom Nunez,,
"on authority, unranked by all sources",Luis Guillorme,,
"on authority, unranked by all sources",Casey Kelly,,
"on authority, unranked by all sources",Kenedy Corona,,
"on authority, unranked by all sources",Justin Dean,,
"on authority, unranked by all sources",Coco Montes,,
"on authority, unranked by all sources",Joe La Sorsa,,
"on authority, unranked by all sources",Joe Mantiply,,
"on authority, unranked by all sources",Robinson Pina,,
"on authority, unranked by all sources",Noah Davis,,
"on authority, unranked by all sources",Tristin English,,
"on authority, unranked by all sources",Chuckie Robinson,,
"on authority, unranked by all sources",Eddie Rosario,,
"on authority, unranked by all sources",Hayden Harris,,
"on authority, unranked by all sources",Rolddy Munoz,,
"on authority, unranked by all sources",Xzavion Curry,,
"on authority, unranked by all sources",Michael Mercado,,
"on authority, unranked by all sources",Jon Singleton,,
"on authority, unranked by all sources",David Banuelos,,
"on authority, unranked by all sources",Jesus Aguilar,,
"on authority, unranked by all sources",Heisell Baro,,
"on authority, unranked by all sources",Brad Boxberger,,
"on authority, unranked by all sources",Matt Bush,,
"on authority, unranked by all sources",Justin Dirden,,
"on authority, unranked by all sources",Tyler Esplin,,
"on authority, unranked by all sources",Rony Garcia,,
"on authority, unranked by all sources",Mychal Givens,,
"on authority, unranked by all sources",Yan Gomes,,
"on authority, unranked by all sources",Brad Hand,,
"on authority, unranked by all sources",Dauri Lorenzo,,
"on authority, unranked by all sources",Aaron Loup,,
"on authority, unranked by all sources",Austin Meadows,,
"on authority, unranked by all sources",Brad Miller,,
"on authority, unranked by all sources",Rougned Odor,,
"on authority, unranked by all sources",Jake Odorizzi,,
"on authority, unranked by all sources",Jace Peterson,,
"on authority, unranked by all sources",Jose Rodriguez,,
"on authority, unranked by all sources",Reid Schaller,,
"on authority, unranked by all sources",Jesse Franklin,,
"on authority, unranked by all sources",Cristopher Cruz,,
"on authority, unranked by all sources",Zach Davies,,
"on authority, unranked by all sources",John Doxakis,,
"on authority, unranked by all sources",Daulton Jefferies,,
"on authority, unranked by all sources",Alex Reyes,,
"on authority, unranked by all sources",Hunter Barnhart,,
"on authority, unranked by all sources",Matt Barnes,,
"on authority, unranked by all sources",Wil Crowe,,
"on authority, unranked by all sources",Eduardo Escobar,,
"on authority, unranked by all sources",Aaron Hicks,,
"on authority, unranked by all sources",Chandler Redmond,,
"on authority, unranked by all sources",Brian Anderson,,
"on authority, unranked by all sources",Peyton Burdick,,
"on authority, unranked by all sources",Lucius Fox,,
"on authority, unranked by all sources",Avisail Garcia,,
"on authority, unranked by all sources",Luis Rodriguez,,
"on authority, unranked by all sources",Chris Seise,,
"on authority, unranked by all sources",Starlyn Castillo,,
"on authority, unranked by all sources",Cody Morris,,
"on authority, unranked by all sources",Hunter Dozier,,
"on authority, unranked by all sources",Jacob Gonzalez,,
"on authority, unranked by all sources",DJ Peters,,
"on authority, unranked by all sources",Greg Deichmann,,
"on authority, unranked by all sources",Drew Rucinski,,
"on authority, unranked by all sources",Brandon Belt,,
"on authority, unranked by all sources",Chris Clarke,,
"on authority, unranked by all sources",Josh Crouch,,
"on authority, unranked by all sources",Franklin German,,
"on authority, unranked by all sources",Max Stassi,,
"on authority, unranked by all sources",Julio Teheran,,
"on authority, unranked by all sources",Zack Greinke,,
"on authority, unranked by all sources",Kyle Lewis,,
"on authority, unranked by all sources",Justice Thompson,,
"on authority, unranked by all sources",Andrew Bellatti,,
"on authority, unranked by all sources",Matthew Dyer,,
"on authority, unranked by all sources",Paolo Espino,,
"on authority, unranked by all sources",Ronny Rojas,,
"on authority, unranked by all sources",Joey Wendle,,
"on authority, unranked by all sources",Alexander Mojica,,
"on authority, unranked by all sources",Jose Abreu,,
"on authority, unranked by all sources",Adinso Reyes,,
"on authority, unranked by all sources",Yasel Antuna,,
"on authority, unranked by all sources",Phil Clarke,,
"on authority, unranked by all sources",Seth Corry,,
"on authority, unranked by all sources",Shane Marshall,,
"on authority, unranked by all sources",Anderson Paula,,
"on authority, unranked by all sources",Matt Tabor,,
"on authority, unranked by all sources",Evan White,,
"on authority, unranked by all sources",Peyton Battenfield,,
"on authority, unranked by all sources",Chance Adams,,
"on authority, unranked by all sources",Brendon Davis,,
"on authority, unranked by all sources",Lolo Sánchez,,
"on authority, unranked by all sources",C.J. Cron,,
"on authority, unranked by all sources",Andelzon Abad,,
"on authority, unranked by all sources",Melvin Adon,,
"on authority, unranked by all sources",Seth Elledge,,
"on authority, unranked by all sources",David Fletcher,,
"on authority, unranked by all sources",Andrew Politi,,
"on authority, unranked by all sources",Tyler Collins,,
"on authority, unranked by all sources",Joe Dunand,,
"on authority, unranked by all sources",Trey Harris,,
"on authority, unranked by all sources",James Norwood,,
"on authority, unranked by all sources",Jorge Ona,,
"on authority, unranked by all sources",Cody Sedlock,,
"on authority, unranked by all sources",Manuel Sequera,,
"on authority, unranked by all sources",Graeme Stinson,,
"on authority, unranked by all sources",Hiroshi Takahashi,,
"on authority, unranked by all sources",Jasseel De La Cruz,,
"on authority, unranked by all sources",Yeison Perez,,
"on authority, unranked by all sources",Ethan Hankins,,
"on authority, unranked by all sources",Brayan Medina,,
"on authority, unranked by all sources",Mason Denaburg,,
"on authority, unranked by all sources",Alec Willis,,
"on authority, unranked by all sources",Jhonny Piron,,
"on authority, unranked by all sources",Mack Anglin,,
"on authority, unranked by all sources",Juan Garcia,,
"on authority, unranked by all sources",Anthony Migliaccio,,
"on authority, unranked by all sources",Luis Ortiz,,
"on authority, unranked by all sources",James Parker,,
"on authority, unranked by all sources",Brett Phillips,,
"on authority, unranked by all sources",Alonzo Rubalcaba,,
"on authority, unranked by all sources",Blake Rutherford,,
"on authority, unranked by all sources",Junior Sanquintin,,
"on authority, unranked by all sources",Railin Tejada,,
"on authority, unranked by all sources",Logan Van Treeck,,
"on authority, unranked by all sources",Logan Warmoth,,
"on authority, unranked by all sources",Zack Brown,,
"on authority, unranked by all sources",Jimmy Lewis,,
"on authority, unranked by all sources",Jairo Solis,,
"on authority, unranked by all sources",Travis Blankenhorn,,
"on authority, unranked by all sources",Will Ethridge,,
"on authority, unranked by all sources",Wilmer Feliciano,,
"on authority, unranked by all sources",Luis Gonzalez,,
"on authority, unranked by all sources",Brian Miller,,
"on authority, unranked by all sources",Jose Pena,,
"on authority, unranked by all sources",Erick Hernandez,,
"on authority, unranked by all sources",Josmar Acevedo,,
"on authority, unranked by all sources",Jordan Brewer,,
"on authority, unranked by all sources",Brainer Bonaci,,
"on authority, unranked by all sources",Casey Martin,,
"on authority, unranked by all sources",Wyatt Henseler,,
"on authority, unranked by all sources",Niko Hulsizer,,
